price,propertyType,size,rooms,bathrooms,floor,hasLift,parkingSpace,city,house_status
760000,flat,169,3,2,2,1,0,Oeiras,0
394000,flat,123,3,2,4,1,0,Oeiras,0
249500,flat,76,2,1,2,False,0,Oeiras,0
145000,chalet,66,1,1,0,0,0,Oeiras,0
265000,flat,84,2,1,3,False,0,Oeiras,0
624000,flat,100,3,3,4,1,1,Oeiras,1
545000,flat,160,2,2,0,1,1,Oeiras,0
460000,flat,85,2,2,1,1,1,Oeiras,1
680000,flat,134,3,3,1,1,1,Oeiras,1
1265000,flat,179,4,4,4,1,1,Oeiras,1
650000,flat,114,3,2,1,1,1,Oeiras,1
515000,flat,107,2,2,3,1,1,Oeiras,1
480000,flat,78,2,1,1,1,1,Oeiras,1
505000,flat,107,2,2,2,1,1,Oeiras,1
495000,flat,107,2,2,1,1,1,Oeiras,1
685000,flat,124,3,3,2,1,1,Oeiras,1
470000,flat,84,2,2,2,1,1,Oeiras,1
1300000,chalet,238,4,4,0,0,1,Oeiras,0
325000,flat,49,1,1,1,1,1,Oeiras,1
460000,flat,74,2,2,1,1,1,Oeiras,1
1350000,flat,165,4,3,4,1,1,Oeiras,1
465000,flat,72,2,2,2,1,1,Oeiras,1
670000,flat,115,3,3,1,1,1,Oeiras,1
655000,flat,103,3,3,1,1,1,Oeiras,1
1265000,flat,142,4,4,4,1,1,Oeiras,1
335000,flat,48,1,1,1,1,1,Oeiras,1
330000,flat,46,1,1,1,1,1,Oeiras,1
470000,flat,74,2,2,2,1,1,Oeiras,1
495000,flat,75,2,2,1,1,1,Oeiras,1
795000,flat,101,2,2,0,1,1,Oeiras,1
930000,flat,116,3,2,0,1,1,Oeiras,1
1500000,flat,170,4,4,3,1,1,Oeiras,1
710000,flat,107,3,3,3,1,1,Oeiras,1
295000,flat,50,1,1,1,1,1,Oeiras,1
550000,flat,72,2,2,4,1,1,Oeiras,1
685000,flat,120,3,3,1,1,1,Oeiras,1
700000,flat,115,3,3,3,1,1,Oeiras,1
860000,flat,114,3,2,0,1,1,Oeiras,1
649000,flat,439,4,1,0,False,1,Oeiras,0
895000,duplex,116,2,3,5,1,1,Oeiras,0
296000,flat,65,2,1,8,1,0,Oeiras,0
1500000,flat,262,4,4,3,1,1,Oeiras,1
675000,flat,114,3,3,3,1,1,Oeiras,1
715000,flat,136,3,3,3,1,1,Oeiras,1
335000,flat,59,1,1,1,1,1,Oeiras,1
350000,flat,50,1,1,3,1,1,Oeiras,1
300000,flat,64,2,1,2,0,0,Oeiras,0
570000,flat,154,2,2,2,1,0,Oeiras,0
1690000,chalet,677,8,6,0,0,1,Oeiras,0
1495000,chalet,217,4,5,0,0,1,Oeiras,0
230000,flat,62,2,1,3,False,0,Oeiras,0
300000,flat,104,4,2,2,False,0,Oeiras,0
895000,flat,173,2,2,2,0,0,Oeiras,0
1500000,chalet,238,5,1,0,0,0,Oeiras,0
386000,flat,97,3,2,2,0,0,Oeiras,0
1800000,chalet,450,11,9,0,0,0,Oeiras,0
993000,chalet,135,3,3,0,0,0,Oeiras,0
420000,flat,103,3,2,2,0,0,Oeiras,0
360000,duplex,84,1,1,0,False,0,Oeiras,0
975000,chalet,334,6,2,0,0,1,Oeiras,0
373000,flat,122,3,2,2,1,0,Oeiras,0
749900,duplex,208,3,3,2,1,0,Oeiras,0
750000,chalet,300,4,3,0,0,0,Oeiras,0
1050000,chalet,408,6,5,0,0,0,Oeiras,0
296000,flat,62,2,1,1,False,0,Oeiras,0
360000,flat,120,2,2,3,1,0,Oeiras,0
360000,flat,84,1,1,0,1,1,Oeiras,0
349000,flat,68,2,2,0,False,0,Oeiras,0
395000,flat,80,2,1,0,1,1,Oeiras,0
259000,flat,75,2,1,5,1,0,Oeiras,0
245000,flat,97,3,2,0,False,0,Oeiras,0
970000,chalet,202,4,3,0,0,1,Oeiras,0
540000,flat,128,2,2,2,0,0,Oeiras,0
2475000,chalet,272,5,4,0,0,0,Oeiras,0
1125000,flat,285,5,4,3,1,1,Oeiras,0
1150000,chalet,162,3,4,0,0,1,Oeiras,0
339000,flat,88,3,2,0,1,0,Oeiras,0
750000,chalet,260,5,3,0,0,1,Oeiras,0
1125000,flat,304,5,4,3,1,1,Oeiras,0
450000,chalet,128,4,2,0,0,1,Oeiras,-1
350000,flat,77,2,1,2,0,0,Oeiras,0
179000,flat,72,2,1,2,0,0,Oeiras,0
275000,flat,100,3,2,3,False,0,Oeiras,0
282000,flat,72,2,1,2,0,0,Oeiras,0
290000,chalet,89,3,1,0,0,0,Oeiras,0
